Volume,Area,Length,Width
1.5,350,31,13.56
1,227,24,12.83
1.5,306,31,12
1.5,262.5,31.1,10.1
1.5,379,34,13.75
1.5,331,31.3,13.23
1.5,260,25.8,13.61
1.5,319,29.7,13.1
1.5,298,29.9,12.39
1.5,336,32.3,13.5
1.5,303,29.7,12.8
1.5,293,28.3,14
1.5,276,29.5,12.13
1.5,250,27,11.59
1.5,302,30.7,12.7
0.5,168,23.4,9
0.5,156,21,10
0.5,143,22.4,8.7
0.5,162,22,9.5
0.5,140,22.9,8.3
0.5,147,22,9
0.5,134,20,8.8
0.5,141,18.8,9
0.5,148,18.4,9.63
0.5,161,21,10.3
0.5,169,20.6,10.48
0.5,149,19.4,9.5
0.5,134,18.4,8.8
0.5,156,19.6,10.4
1,248,26.9,12.2
1,215,25,11.5
1,252,26.2,13.7
1,260,32,12.25
1,230,26,12.3
1,228,25.15,11.2
1,241,26.7,11.9
1,260,26.9,12.3
1,261,27,12
1,290,31.7,13.2
1,212,24.8,12.3
1,241,27,12.5
1,236,27.5,11.9
1,237,31,12
1,245,28.7,13.9
1,242,26,11.9
1,252,30,13.8
2,383,33.5,14.5
2,394,33.9,15
2,341,31.45,13.7
2,407,33.9,15.4
2,377,32.5,15.3
2,398,33.5,15.3
2,369,33,13.8
2,404,34.4,15.3
2,360,31.6,14.2
2,380,33.3,14.7
2,387,32.7,14.9
2,390,33.5,15.1
2,360,33.4,14.8
2,343,34,14.2
